plant,stem_length_m,internode_id,internode_len_m
0059,1.9311,6,0.1333
0059,1.9311,7,0.1004
0060,1.5413,1,0.1347
0060,1.5413,2,0.2673
0060,1.5413,3,0.0961
0060,1.5413,4,0.2795
0060,1.5413,5,0.1424
0060,1.5413,6,0.1155
0060,1.5413,7,0.1072
0061,1.805,1,0.0875
0061,1.805,2,0.1207
0061,1.805,3,0.137
0061,1.805,4,0.1941
0061,1.805,5,0.182
0061,1.805,6,0.1339
0061,1.805,7,0.1314
0061,1.805,8,0.1486
0061,1.805,9,0.1475
0062,1.7798,1,0.1054
0062,1.7798,2,0.0711
0062,1.7798,3,0.1548
0062,1.7798,4,0.1002
0062,1.7798,5,0.0657
0062,1.7798,6,0.1196
0062,1.7798,7,0.0359
0062,1.7798,8,0.3021
0062,1.7798,9,0.1662
0062,1.7798,10,0.1587
0062,1.7798,11,0.3011
0063,1.6562,1,0.1078
0063,1.6562,2,0.1284
0063,1.6562,3,0.0392
0063,1.6562,4,0.1713
0063,1.6562,5,0.1405
0063,1.6562,6,0.0794
0063,1.6562,7,0.1154
0063,1.6562,8,0.108
0063,1.6562,9,0.0743
0063,1.6562,10,0.0995
0064,1.8478,1,0.1407
0064,1.8478,2,0.0935
0064,1.8478,3,0.1753
0064,1.8478,4,0.1471
0064,1.8478,5,0.1978
0064,1.8478,6,0.2152
0064,1.8478,7,0.0711
0064,1.8478,8,0.1687
0064,1.8478,9,0.1506
0065,1.846,1,0.1295
0065,1.846,2,0.1328
0065,1.846,3,0.1811
0065,1.846,4,0.1973
0065,1.846,5,0.1731
0065,1.846,6,0.1196
0065,1.846,7,0.1953
0065,1.846,8,0.1366
0065,1.846,9,0.115
0066,1.4768,1,0.1075
0066,1.4768,2,0.132
0066,1.4768,3,0.1714
0066,1.4768,4,0.1819
0066,1.4768,5,0.1561
0066,1.4768,6,0.1311
0066,1.4768,7,0.1321
0066,1.4768,8,0.0759
0067,1.7056,1,0.1805
0067,1.7056,2,0.0754
0067,1.7056,3,0.2187
0067,1.7056,4,0.1203
0067,1.7056,5,0.1417
0067,1.7056,6,0.2003
0067,1.7056,7,0.0899
0067,1.7056,8,0.1836
0067,1.7056,9,0.0972
0068,1.756,1,0.0936
0068,1.756,2,0.1103
0068,1.756,3,0.096
0068,1.756,4,0.1341
0068,1.756,5,0.1236
0068,1.756,6,0.1035
0068,1.756,7,0.2866
0068,1.756,8,0.1676
0068,1.756,9,0.0691
0069,2.2131,1,0.0636
0069,2.2131,2,0.1035
0069,2.2131,3,0.1271
0069,2.2131,4,0.2137
0069,2.2131,5,0.1248
0069,2.2131,6,0.3105
0069,2.2131,7,0.1623
0069,2.2131,8,0.4461
0069,2.2131,9,0.1081
0070,1.9274,1,0.1206
0070,1.9274,2,0.1129
0070,1.9274,3,0.1631
0070,1.9274,4,0.1601
0070,1.9274,5,0.1433
0070,1.9274,6,0.2355
0070,1.9274,7,0.1075
0070,1.9274,8,0.1642
0070,1.9274,9,0.1261
0071,2.1879,1,0.1064
0071,2.1879,2,0.2552
0071,2.1879,3,0.1643
0071,2.1879,4,0.1552
0071,2.1879,5,0.178
0071,2.1879,6,0.1634
0071,2.1879,7,0.1461
0071,2.1879,8,0.1831
0071,2.1879,9,0.0663
0071,2.1879,10,0.1749
0071,2.1879,11,0.1066
0072,1.1959,1,0.0893
0072,1.1959,2,0.1168
0072,1.1959,3,0.1596
0072,1.1959,4,0.16
0072,1.1959,5,0.1089
0072,1.1959,6,0.1063
0072,1.1959,7,0.1111
0073,1.743,1,0.1282
0073,1.743,2,0.1232
0073,1.743,3,0.1635
0073,1.743,4,0.1346
0073,1.743,5,0.2068
0073,1.743,6,0.137
0073,1.743,7,0.1322
0073,1.743,8,0.2175
0073,1.743,9,0.0833
0074,1.8409,1,0.1972
0074,1.8409,2,0.1645
0074,1.8409,3,0.1657
0074,1.8409,4,0.1366
0074,1.8409,5,0.1423
0074,1.8409,6,0.0879
0074,1.8409,7,0.1805
0074,1.8409,8,0.0956
0075,1.6576,1,0.0611
0075,1.6576,2,0.106
0075,1.6576,3,0.0898
0075,1.6576,4,0.121
0075,1.6576,5,0.1029
0075,1.6576,6,0.1497
0075,1.6576,7,0.1964
0075,1.6576,8,0.2083
0076,1.7401,1,0.1343
0076,1.7401,2,0.0838
0076,1.7401,3,0.1486
0076,1.7401,4,0.129
0076,1.7401,5,0.188
0076,1.7401,6,0.1039
0076,1.7401,7,0.1158
0076,1.7401,8,0.148
0076,1.7401,9,0.1448
0076,1.7401,10,0.1346
0077,2.2145,1,0.0876
0077,2.2145,2,0.076
0077,2.2145,3,0.0965
0077,2.2145,4,0.1255
0077,2.2145,5,0.098
0077,2.2145,6,0.1307
0077,2.2145,7,0.2398
0077,2.2145,8,0.0718
0077,2.2145,9,0.3629
0077,2.2145,10,0.1237
0077,2.2145,11,0.2012
0077,2.2145,12,0.0337
0078,1.8667,1,0.0866
0078,1.8667,2,0.1184
0078,1.8667,3,0.119
0078,1.8667,4,0.1017
0078,1.8667,5,0.2118
0078,1.8667,6,0.1506
0078,1.8667,7,0.1147
0078,1.8667,8,0.1408
0078,1.8667,9,0.1251
0078,1.8667,10,0.3646
0079,1.6831,1,0.1283
0079,1.6831,2,0.0713
0079,1.6831,3,0.0864
0079,1.6831,4,0.0525
0079,1.6831,5,0.0825
0079,1.6831,6,0.0983
0079,1.6831,7,0.1795
0079,1.6831,8,0.0693
0079,1.6831,9,0.1361
0079,1.6831,10,0.1094
0079,1.6831,11,0.0614
0080,2.8969,1,0.0923
0080,2.8969,2,0.0902
0080,2.8969,3,0.1278
0080,2.8969,4,0.3082
0080,2.8969,5,0.1653
0080,2.8969,6,0.1842
0080,2.8969,7,0.2744
0080,2.8969,8,0.1683
0080,2.8969,9,0.5139
0080,2.8969,10,0.3179
0080,2.8969,11,0.3598
0081,1.9972,1,0.1093
0081,1.9972,2,0.1655
0081,1.9972,3,0.1472
0081,1.9972,4,0.1515
0081,1.9972,5,0.1412
0081,1.9972,6,0.3649
0081,1.9972,7,0.2114
0081,1.9972,8,0.1054
0082,1.707,1,0.148
0082,1.707,2,0.135
0082,1.707,3,0.1349
0082,1.707,4,0.135
0082,1.707,5,0.1299
0082,1.707,6,0.1551
0082,1.707,7,0.0766
0082,1.707,8,0.1449
0083,1.8018,1,0.0994
0083,1.8018,2,0.1236
0083,1.8018,3,0.0996
0083,1.8018,4,0.1352
0083,1.8018,5,0.1388
0083,1.8018,6,0.1573
0083,1.8018,7,0.0647
0083,1.8018,8,0.1346
0083,1.8018,9,0.0693
0083,1.8018,10,0.1171
0083,1.8018,11,0.0856
0083,1.8018,12,0.0303
0084,1.949,1,0.11
0084,1.949,2,0.0978
0084,1.949,3,0.1
0084,1.949,4,0.2271
0084,1.949,5,0.1268
0084,1.949,6,0.3305
0084,1.949,7,0.0997
0084,1.949,8,0.2042
0084,1.949,9,0.107
0084,1.949,10,0.0915
0084,1.949,11,0.0964
0085,2.0854,1,0.1369
0085,2.0854,2,0.0996
0085,2.0854,3,0.092
0085,2.0854,4,0.0448
0085,2.0854,5,0.1867
0085,2.0854,6,0.2789
0085,2.0854,7,0.3297
0085,2.0854,8,0.1436
0086,1.5693,1,0.0643
0086,1.5693,2,0.0675
0086,1.5693,3,0.0549
0086,1.5693,4,0.0927
0086,1.5693,5,0.1155
0086,1.5693,6,0.1627
0086,1.5693,7,0.1314
0086,1.5693,8,0.1315
0086,1.5693,9,0.0823
0086,1.5693,10,0.0658
0087,2.7361,1,0.1107
0087,2.7361,2,0.1526
0087,2.7361,3,0.222
0087,2.7361,4,0.1008
0087,2.7361,5,0.1831
0087,2.7361,6,0.1146
0087,2.7361,7,0.3438
0087,2.7361,8,0.1788
0087,2.7361,9,0.3562
0087,2.7361,10,0.142
0088,1.49,1,0.0582
0088,1.49,2,0.1107
0088,1.49,3,0.1495
0088,1.49,4,0.0572
0088,1.49,5,0.1159
0088,1.49,6,0.0829
0088,1.49,7,0.0544
0088,1.49,8,0.0936
0088,1.49,9,0.0346
0088,1.49,10,0.3494
0089,1.4988,1,0.0941
0089,1.4988,2,0.0502
0089,1.4988,3,0.0606
0089,1.4988,4,0.0853
0089,1.4988,5,0.1325
0089,1.4988,6,0.0975
0089,1.4988,7,0.1569
0089,1.4988,8,0.1396
0089,1.4988,9,0.0462
0089,1.4988,10,0.1474
